time,x,y,z,heading_deg,odor_concentration,brain_forward,brain_turn,velocity_mms,angular_velocity_rads,distance_to_source
0.0,10.002319142203223,10.00000021617732,5.0,0.005340788500834355,0.115974323993682,0.11595711066494961,0.029671047226857525,0.23191422132989922,0.00932143439922114,56.56690248465066
0.01,10.006725856514052,10.000001407429872,5.0,0.015488578817995084,0.1160070419573868,0.115974323993682,0.029672670368943402,0.4406714471842733,0.01771123528364544,56.563785800825194
0.02,10.013012039518273,10.000004694833247,5.0,0.029963225958256574,0.11605373570008602,0.1160070419573868,0.029675754748982375,0.6286183863806196,0.02526302506619444,56.55933902164232
0.03,10.020990676870879,10.000011425351053,5.0,0.04833283625240263,0.1161130364911441,0.11605373570008602,0.0296801548217262,0.7978640191427298,0.03206101819410927,56.55369371164797
0.04,10.030493706638353,10.000023070149043,5.0,0.07020891867780933,0.11618371832453153,0.1161130364911441,0.029685739781529136,0.950303690210745,0.03818096657610136,56.54696797993404
0.05,10.041370099189912,10.000041149850501,5.0,0.09524202343811018,0.11626468253162661,0.11618371832453153,0.029692392096860226,1.0876407578387335,0.0436910100063916,56.53926787254648
0.06,10.053484131693432,10.000067180660578,5.0,0.12311781883575833,0.11635494415246744,0.11626468253162661,0.029700006185429798,1.2114060471181134,0.04865244113012421,56.53068861749815
0.07,10.066713837489342,10.000102636558644,5.0,0.15355356239279783,0.11645361984648384,0.11635494415246744,0.02970848721753419,1.322975330711237,0.05312039353629896,56.52131573860262
0.08,10.080949612612097,10.00014892377299,5.0,0.18629492660062338,0.11655991715412697,0.11645361984648384,0.029717750036055562,1.4235850373330812,0.05714446070211806,56.511226052450446
0.09,10.096092963525082,10.000207364561772,5.0,0.22111314366049925,0.11667312494648113,0.11655991715412697,0.029727718182404925,1.514346367908027,0.06076925273688936,56.50048856119468
0.1,10.112055381750153,10.000279187968795,5.0,0.25780243715772216,0.11679260492169133,0.11667312494648113,0.029738323018525636,1.5962579810101867,0.06403489717570846,56.489165252365076
0.11,10.1287573325253,10.000365525735164,5.0,0.2961777118336833,0.1169177840255411,0.11679260492169133,0.029749502935891833,1.6702173927525505,0.0669774894452722,56.47731181566144
0.12,10.146127345929289,10.000467411954396,5.0,0.33607247551782354,0.11704814768929717,0.1169177840255411,0.029761202643195775,1.7370312215283776,0.06962949805933108,56.464978285562175
0.13,10.164101200085193,10.000585785380453,5.0,0.37733696988807724,0.11718323379145767,0.11704814768929717,0.02977337252515265,1.7974243947541342,0.07202012909315915,56.45220961760277
0.14,10.182621187108799,10.000721493552309,5.0,0.419836489073099,0.11732262726164866,0.11718323379145767,0.029785968065518836,1.852048422861636,0.07417565402931266,56.43904620531468
0.15,10.20163545341497,10.000875298098832,5.0,0.46344986721866893,0.11746595525491821,0.11732262726164866,0.02979894932805767,1.9014888350987698,0.07611970465575345,56.42552434405122
0.16,10.22109740684596,10.00104788074481,5.0,0.5080681180378382,0.11761288283332487,0.11746595525491821,0.029812280489757398,1.9462718620987292,0.07787353832751613,56.411676647251916
0.17,10.240965183850134,10.001239849661788,5.0,0.5535932110708977,0.11776310909921156,0.11761288283332487,0.0298259294211507,1.986870441555506,0.07945627657036199,56.397532420098855
0.18,10.261201170626407,10.001451745902973,5.0,0.599936970916282,0.11791636373106912,0.11776310909921156,0.02983986730905991,2.0237096155983787,0.08088511970554947,56.38311799498812
0.19,10.281771572766763,10.001684049735514,5.0,0.6470200870742876,0.11807240387857429,0.11791636373106912,0.0298540683175543,2.057171381500679,0.08217553990561416,56.368457032768426
0.2,10.302646028483627,10.001937186740415,5.0,0.6947712232874869,0.1182310113783421,0.11807240387857429,0.02986850928330083,2.08759905110776,0.08334145484886239,56.35357079328094
0.21,10.323797261006984,10.00221153359383,5.0,0.7431262163789019,0.11839199025628122,0.1182310113783421,0.029883169441865226,2.115301168753668,0.08439538392243043,56.33847837836101
0.22,10.34520076618363,10.00250742347649,5.0,0.7920273555939098,0.11855516448624837,0.11839199025628122,0.02989803018185791,2.1405550323908638,0.08534858872780046,56.32319695013181
0.23,10.366834531713135,10.002825151082574,5.0,0.8414227343557589,0.11872037597805579,0.11855516448624837,0.029913074824121103,2.163609858124274,0.08621119946639448,56.30774192712294
0.24,10.388678784816328,10.003164977217548,5.0,0.8912656671576413,0.11888748277083522,0.11872037597805579,0.02992828842343552,2.1846896242679583,0.08699232862431319,56.29212716048432
0.25,10.410715765456843,10.003527132987655,5.0,0.9415141650456191,0.11905635741037664,0.11888748277083522,0.029943657590464662,2.203995627382833,0.08770017323266308,56.276365092328966
0.26,10.432929522527935,10.003911823592972,5.0,0.9921304638045406,0.11922688549136051,0.11905635741037664,0.029959170331896545,2.221708779465303,0.08834210685162991,56.26046689802856
0.27,10.45530573067897,10.00431923174227,5.0,1.0430805995508174,0.11939896434745083,0.11922688549136051,0.029974815906931324,2.2379916725014937,0.08892476231105911,56.24444261409702
0.28,10.477831525691531,10.004749520711933,5.0,1.0943340269681896,0.11957250187402588,0.11939896434745083,0.029990584698459694,2.252990433946246,0.08945410613650755,56.22830125312888
0.29,10.500495356526773,10.005202837073524,5.0,1.145863275901363,0.11974741546993511,0.11957250187402588,0.03000646809743676,2.2668363942996734,0.08993550549636517,56.21205090710883
0.3,10.52328685235592,10.005679313115648,5.0,1.1976436424530585,0.11992363108609982,0.11974741546993511,0.030022458399108165,2.2796475858095766,0.09037378842166299,56.195698840273536
0.31,10.546196703056722,10.006179068985896,5.0,1.2496529111173633,0.12010108237005307,0.11992363108609982,0.030038548709882193,2.2915300894008186,0.0907732979746432,56.17925157258607
0.32,10.569216551812357,10.006702214578128,5.0,1.3018711048307143,0.12027970989664914,0.12010108237005307,0.030054732863760175,2.302579245200843,0.09113794097421817,56.16271495477492
0.33,10.592338898587302,10.0072488511894,5.0,1.3542802601352537,0.12045946047618308,0.12027970989664914,0.030071005347351548,2.3128807404740566,0.09147123182532625,56.14609423579246
0.34,10.615557013378828,10.007819072969498,5.0,1.406864224931206,0.12064028653207265,0.12045946047618308,0.03008736123259334,2.322511587379017,0.09177633194421539,56.12939412346044
0.35000000000000003,10.63886485825425,10.008412968184638,5.0,1.459608476548513,0.12082214554105461,0.12064028653207265,0.030103796116389192,2.3315410017052605,0.09205608522223517,56.11261883899231
0.36,10.662257017284306,10.009030620315295,5.0,1.5124999580960516,0.12100499952957997,0.12082214554105461,0.03012030606645774,2.3400311926168436,0.09231304992623762,56.095772166011564
0.37,10.68572863357313,10.009672109006523,5.0,1.5655269312519322,0.12118881462073038,0.12100499952957997,0.030136887572754373,2.348038072414319,0.09254952739367653,56.078857494622895
