sigma,final_distance,min_distance,avg_distance,max_concentration,avg_concentration,avg_forward_action,avg_turn_action,success
0.5,42.42640687119285,42.42640687119285,42.426406871192846,0.0,0.0,0.0,0.5,0
1.0,42.42640687119285,42.42640687119285,42.426406871192846,0.0,0.0,0.0,0.5,0
2.5,42.42640687119285,42.42640687119285,42.426406871192846,2.8946403116483003e-63,2.894640311648301e-63,2.894640311648301e-63,0.5,0
5.0,42.42640687119285,42.42640687119285,42.426406871192846,2.3195228302435696e-16,2.319522830243569e-16,2.319522830243569e-16,0.49999999999999994,0
10.0,42.42640687119285,42.42640687119285,42.426406871192846,0.00012340980408667956,0.0001234098040866795,0.0001234098040866795,0.49993829509795673,0
20.0,41.995176907492734,41.995176907492734,42.21241884841278,0.1102808292249016,0.10780749347901412,0.10780749347901412,0.0,0
30.0,40.9023074167707,40.9023074167707,41.673272836012906,0.39463164941966766,0.3810248727508281,0.3810248727508281,0.0,0
