step,time_s,x_mm,y_mm,z_mm,odor,forward_cmd,turn_cmd,wing_Hz,left_leg,right_leg
79,0.79,10.14759415826216,10.0,5.0,0.018584024353577686,0.018584024353577686,0.0,2.787603653036653,0.0,-0.0
80,0.8,10.14945290482901,10.0,5.0,0.01858746566850356,0.01858746566850356,0.0,2.788119850275534,0.0,-0.0
81,0.81,10.151311995638764,10.0,5.0,0.018590908097542925,0.018590908097542925,0.0,2.7886362146314387,0.0,-0.0
82,0.8200000000000001,10.153171430802884,10.0,5.0,0.018594351641195925,0.018594351641195925,0.0,2.7891527461793886,0.0,-0.0
83,0.8300000000000001,10.15503121043288,10.0,5.0,0.01859779629996294,0.01859779629996294,0.0,2.789669444994441,0.0,-0.0
84,0.84,10.156891334640314,10.0,5.0,0.018601242074344663,0.018601242074344663,0.0,2.7901863111516993,0.0,-0.0
85,0.85,10.158751803536799,10.0,5.0,0.018604688964842075,0.018604688964842075,0.0,2.790703344726311,0.0,-0.0
86,0.86,10.160612617233994,10.0,5.0,0.018608136971956422,0.018608136971956422,0.0,2.7912205457934633,0.0,-0.0
87,0.87,10.162473775843614,10.0,5.0,0.018611586096189216,0.018611586096189216,0.0,2.7917379144283823,0.0,-0.0
88,0.88,10.164335279477418,10.0,5.0,0.01861503633804231,0.01861503633804231,0.0,2.792255450706347,0.0,-0.0
89,0.89,10.16619712824722,10.0,5.0,0.018618487698017782,0.018618487698017782,0.0,2.7927731547026675,0.0,-0.0
90,0.9,10.168059322264881,10.0,5.0,0.018621940176618,0.018621940176618,0.0,2.7932910264927004,0.0,-0.0
91,0.91,10.169921861642315,10.0,5.0,0.01862539377434565,0.01862539377434565,0.0,2.7938090661518475,0.0,-0.0
92,0.92,10.171784746491486,10.0,5.0,0.018628848491703657,0.018628848491703657,0.0,2.7943272737555485,0.0,-0.0
93,0.93,10.173647976924405,10.0,5.0,0.01863230432919525,0.01863230432919525,0.0,2.7948456493792873,0.0,-0.0
94,0.9400000000000001,10.175511553053138,10.0,5.0,0.018635761287323967,0.018635761287323967,0.0,2.795364193098595,0.0,-0.0
95,0.9500000000000001,10.177375474989796,10.0,5.0,0.018639219366593587,0.018639219366593587,0.0,2.795882904989038,0.0,-0.0
96,0.96,10.179239742846548,10.0,5.0,0.018642678567508165,0.018642678567508165,0.0,2.796401785126225,0.0,-0.0
97,0.97,10.181104356735604,10.0,5.0,0.018646138890572095,0.018646138890572095,0.0,2.7969208335858142,0.0,-0.0
98,0.98,10.182969316769233,10.0,5.0,0.018649600336289998,0.018649600336289998,0.0,2.7974400504434995,0.0,-0.0
99,0.99,10.18483462305975,10.0,5.0,0.018653062905166835,0.018653062905166835,0.0,2.7979594357750255,0.0,-0.0
100,1.0,10.18670027571952,10.0,5.0,0.018656526597707807,0.018656526597707807,0.0,2.798478989656171,0.0,-0.0
101,1.01,10.188566274860962,10.0,5.0,0.01865999141441839,0.01865999141441839,0.0,2.798998712162758,0.0,-0.0
102,1.02,10.190432620596543,10.0,5.0,0.018663457355804405,0.018663457355804405,0.0,2.7995186033706605,0.0,-0.0
103,1.03,10.19229931303878,10.0,5.0,0.018666924422371892,0.018666924422371892,0.0,2.800038663355784,0.0,-0.0
104,1.04,10.194166352300241,10.0,5.0,0.018670392614627235,0.018670392614627235,0.0,2.8005588921940854,0.0,-0.0
105,1.05,10.196033738493549,10.0,5.0,0.018673861933077043,0.018673861933077043,0.0,2.801079289961556,0.0,-0.0
106,1.06,10.197901471731372,10.0,5.0,0.01867733237822824,0.01867733237822824,0.0,2.801599856734236,0.0,-0.0
107,1.07,10.199769552126432,10.0,5.0,0.018680803950588055,0.018680803950588055,0.0,2.8021205925882082,0.0,-0.0
108,1.08,10.201637979791498,10.0,5.0,0.018684276650663977,0.018684276650663977,0.0,2.8026414975995966,0.0,-0.0
109,1.09,10.203506754839394,10.0,5.0,0.01868775047896378,0.01868775047896378,0.0,2.803162571844567,0.0,-0.0
110,1.1,10.205375877382993,10.0,5.0,0.018691225435995548,0.018691225435995548,0.0,2.803683815399332,0.0,-0.0
111,1.11,10.20724534753522,10.0,5.0,0.01869470152226762,0.01869470152226762,0.0,2.804205228340143,0.0,-0.0
112,1.12,10.209115165409049,10.0,5.0,0.018698178738288652,0.018698178738288652,0.0,2.804726810743298,0.0,-0.0
113,1.1300000000000001,10.210985331117506,10.0,5.0,0.01870165708456755,0.01870165708456755,0.0,2.8052485626851325,0.0,-0.0
114,1.1400000000000001,10.212855844773667,10.0,5.0,0.01870513656161356,0.01870513656161356,0.0,2.805770484242034,0.0,-0.0
115,1.1500000000000001,10.21472670649066,10.0,5.0,0.018708617169936156,0.018708617169936156,0.0,2.8062925754904233,0.0,-0.0
116,1.16,10.216597916381664,10.0,5.0,0.01871209891004513,0.01871209891004513,0.0,2.8068148365067693,0.0,-0.0
117,1.17,10.218469474559909,10.0,5.0,0.01871558178245058,0.01871558178245058,0.0,2.8073372673675867,0.0,-0.0
118,1.18,10.220341381138676,10.0,5.0,0.018719065787662855,0.018719065787662855,0.0,2.8078598681494285,0.0,-0.0
119,1.19,10.222213636231295,10.0,5.0,0.018722550926192592,0.018722550926192592,0.0,2.808382638928889,0.0,-0.0
120,1.2,10.22408623995115,10.0,5.0,0.018726037198550764,0.018726037198550764,0.0,2.8089055797826146,0.0,-0.0
121,1.21,10.225959192411676,10.0,5.0,0.01872952460524858,0.01872952460524858,0.0,2.8094286907872874,0.0,-0.0
122,1.22,10.227832493726355,10.0,5.0,0.018733013146797584,0.018733013146797584,0.0,2.8099519720196375,0.0,-0.0
123,1.23,10.229706144008727,10.0,5.0,0.01873650282370953,0.01873650282370953,0.0,2.8104754235564293,0.0,-0.0
124,1.24,10.231580143372376,10.0,5.0,0.018739993636496574,0.018739993636496574,0.0,2.810999045474486,0.0,-0.0
125,1.25,10.233454491930944,10.0,5.0,0.018743485585671037,0.018743485585671037,0.0,2.8115228378506556,0.0,-0.0
126,1.26,10.235329189798119,10.0,5.0,0.018746978671745643,0.018746978671745643,0.0,2.812046800761846,0.0,-0.0
127,1.27,10.237204237087642,10.0,5.0,0.01875047289523335,0.01875047289523335,0.0,2.8125709342850023,0.0,-0.0
128,1.28,10.239079633913306,10.0,5.0,0.018753968256647355,0.018753968256647355,0.0,2.8130952384971035,0.0,-0.0
129,1.29,10.240955380388955,10.0,5.0,0.01875746475650128,0.01875746475650128,0.0,2.813619713475192,0.0,-0.0
130,1.3,10.242831476628487,10.0,5.0,0.01876096239530891,0.01876096239530891,0.0,2.8141443592963364,0.0,-0.0
