step,x_mm,y_mm,z_mm,odor_conc,forward_cmd,turn_cmd,distance_to_source_mm
0,10.001831563888873,10.0,5.0,0.01831563888873418,0.01831563888873418,0.0,56.56724739850363
1,10.003663463263415,10.0,5.0,0.018318993745425862,0.018318993745425862,0.0,56.56595209452317
2,10.005495698231174,10.0,5.0,0.018322349677593865,0.018322349677593865,0.0,56.56465658292469
3,10.007328268899746,10.0,5.0,0.01832570668571667,0.01832570668571667,0.0,56.563360863650466
4,10.009161175376773,10.0,5.0,0.01832906477027308,0.01832906477027308,0.0,56.562064936642756
5,10.010994417769947,10.0,5.0,0.018332423931742087,0.018332423931742087,0.0,56.56076880184379
6,10.012827996187006,10.0,5.0,0.018335784170602987,0.018335784170602987,0.0,56.559472459195774
7,10.01466191073574,10.0,5.0,0.018339145487335333,0.018339145487335333,0.0,56.55817590864089
8,10.016496161523982,10.0,5.0,0.018342507882418976,0.018342507882418976,0.0,56.55687915012131
9,10.018330748659615,10.0,5.0,0.01834587135633399,0.01834587135633399,0.0,56.55558218357916
10,10.02016567225057,10.0,5.0,0.01834923590956077,0.01834923590956077,0.0,56.55428500895658
11,10.02200093240483,10.0,5.0,0.018352601542579908,0.018352601542579908,0.0,56.552987626195666
12,10.023836529230417,10.0,5.0,0.01835596825587234,0.01835596825587234,0.0,56.551690035238494
13,10.02567246283541,10.0,5.0,0.0183593360499192,0.0183593360499192,0.0,56.55039223602711
14,10.02750873332793,10.0,5.0,0.01836270492520197,0.01836270492520197,0.0,56.54909422850356
15,10.02934534081615,10.0,5.0,0.018366074882202307,0.018366074882202307,0.0,56.54779601260986
16,10.03118228540829,10.0,5.0,0.018369445921402227,0.018369445921402227,0.0,56.54649758828799
17,10.033019567212618,10.0,5.0,0.01837281804328395,0.01837281804328395,0.0,56.54519895547994
18,10.034857186337451,10.0,5.0,0.01837619124833,0.01837619124833,0.0,56.54390011412764
19,10.036695142891153,10.0,5.0,0.018379565537023152,0.018379565537023152,0.0,56.54260106417301
20,10.038533436982137,10.0,5.0,0.018382940909846476,0.018382940909846476,0.0,56.541301805557985
21,10.040372068718865,10.0,5.0,0.01838631736728325,0.01838631736728325,0.0,56.540002338224426
22,10.042211038209846,10.0,5.0,0.01838969490981713,0.01838969490981713,0.0,56.5387026621142
23,10.044050345563639,10.0,5.0,0.01839307353793193,0.01839307353793193,0.0,56.53740277716914
24,10.045889990888849,10.0,5.0,0.018396453252111825,0.018396453252111825,0.0,56.53610268333108
25,10.047729974294134,10.0,5.0,0.018399834052841187,0.018399834052841187,0.0,56.534802380541805
26,10.049570295888195,10.0,5.0,0.01840321594060469,0.01840321594060469,0.0,56.53350186874309
27,10.051410955779783,10.0,5.0,0.0184065989158873,0.0184065989158873,0.0,56.5322011478767
28,10.0532519540777,10.0,5.0,0.01840998297917421,0.01840998297917421,0.0,56.53090021788435
29,10.055093290890795,10.0,5.0,0.01841336813095092,0.01841336813095092,0.0,56.52959907870776
30,10.056934966327965,10.0,5.0,0.018416754371703193,0.018416754371703193,0.0,56.52829773028862
31,10.058776980498157,10.0,5.0,0.018420141701917067,0.018420141701917067,0.0,56.52699617256859
32,10.060619333510365,10.0,5.0,0.018423530122078837,0.018423530122078837,0.0,56.52569440548931
33,10.062462025473632,10.0,5.0,0.018426919632675072,0.018426919632675072,0.0,56.524392428992414
34,10.064305056497052,10.0,5.0,0.01843031023419263,0.01843031023419263,0.0,56.52309024301951
35,10.066148426689763,10.0,5.0,0.01843370192711859,0.01843370192711859,0.0,56.52178784751215
36,10.067992136160957,10.0,5.0,0.01843709471194042,0.01843709471194042,0.0,56.520485242411915
37,10.069836185019872,10.0,5.0,0.01844048858914572,0.01844048858914572,0.0,56.51918242766033
38,10.071680573375794,10.0,5.0,0.018443883559222468,0.018443883559222468,0.0,56.51787940319891
39,10.07352530133806,10.0,5.0,0.01844727962265885,0.01844727962265885,0.0,56.51657616896915
40,10.075370369016055,10.0,5.0,0.018450676779943352,0.018450676779943352,0.0,56.51527272491252
41,10.07721577651921,10.0,5.0,0.018454075031564744,0.018454075031564744,0.0,56.51396907097047
42,10.079061523957012,10.0,5.0,0.018457474378012036,0.018457474378012036,0.0,56.51266520708442
43,10.08090761143899,10.0,5.0,0.018460874819774556,0.018460874819774556,0.0,56.51136113319578
44,10.082754039074723,10.0,5.0,0.018464276357341877,0.018464276357341877,0.0,56.51005684924592
45,10.084600806973844,10.0,5.0,0.018467678991203856,0.018467678991203856,0.0,56.50875235517621
46,10.08644791524603,10.0,5.0,0.018471082721850603,0.018471082721850603,0.0,56.507447650928
47,10.088295364001008,10.0,5.0,0.018474487549772534,0.018474487549772534,0.0,56.50614273644259
48,10.090143153348553,10.0,5.0,0.018477893475460333,0.018477893475460333,0.0,56.50483761166129
49,10.091991283398494,10.0,5.0,0.01848130049940492,0.01848130049940492,0.0,56.50353227652535
50,10.093839754260705,10.0,5.0,0.018484708622097553,0.018484708622097553,0.0,56.50222673097604
51,10.095688566045107,10.0,5.0,0.01848811784402973,0.01848811784402973,0.0,56.50092097495459
