step,time_s,x_mm,y_mm,z_mm,odor,forward_cmd,turn_cmd,wing_Hz,left_leg,right_leg
37,0.37,20.069915518340284,20.0,5.0,0.018482431269817797,0.018482431269817797,0.0,2.7723646904726698,0.0,-0.0
38,0.38,20.07176421594271,20.0,5.0,0.018486976024267764,0.018486976024267764,0.0,2.7730464036401647,0.0,-0.0
39,0.39,20.073613368216048,20.0,5.0,0.018491522733356962,0.018491522733356962,0.0,2.773728410003544,0.0,-0.0
40,0.4,20.075462975355872,20.0,5.0,0.01849607139825148,0.01849607139825148,0.0,2.774410709737722,0.0,-0.0
41,0.41000000000000003,20.077313037557886,20.0,5.0,0.018500622020118256,0.018500622020118256,0.0,2.7750933030177385,0.0,-0.0
42,0.42,20.0791635550179,20.0,5.0,0.01850517460012514,0.01850517460012514,0.0,2.775776190018771,0.0,-0.0
43,0.43,20.081014527931842,20.0,5.0,0.018509729139440836,0.018509729139440836,0.0,2.7764593709161254,0.0,-0.0
44,0.44,20.082865956495766,20.0,5.0,0.018514285639234917,0.018514285639234917,0.0,2.7771428458852374,0.0,-0.0
45,0.45,20.084717840905835,20.0,5.0,0.01851884410067784,0.01851884410067784,0.0,2.777826615101676,0.0,-0.0
46,0.46,20.08657018135833,20.0,5.0,0.018523404524940956,0.018523404524940956,0.0,2.7785106787411435,0.0,-0.0
47,0.47000000000000003,20.08842297804965,20.0,5.0,0.018527966913196425,0.018527966913196425,0.0,2.7791950369794636,0.0,-0.0
48,0.48,20.09027623117631,20.0,5.0,0.018532531266617372,0.018532531266617372,0.0,2.779879689992606,0.0,-0.0
49,0.49,20.09212994093495,20.0,5.0,0.018537097586377737,0.018537097586377737,0.0,2.7805646379566604,0.0,-0.0
50,0.5,20.093984107522314,20.0,5.0,0.018541665873652347,0.018541665873652347,0.0,2.781249881047852,0.0,-0.0
51,0.51,20.095838731135274,20.0,5.0,0.01854623612961694,0.01854623612961694,0.0,2.781935419442541,0.0,-0.0
52,0.52,20.097693811970817,20.0,5.0,0.018550808355448097,0.018550808355448097,0.0,2.7826212533172145,0.0,-0.0
53,0.53,20.09954935022605,20.0,5.0,0.018555382552323314,0.018555382552323314,0.0,2.783307382848497,0.0,-0.0
54,0.54,20.10140534609819,20.0,5.0,0.01855995872142093,0.01855995872142093,0.0,2.7839938082131397,0.0,-0.0
55,0.55,20.103261799784583,20.0,5.0,0.018564536863920216,0.018564536863920216,0.0,2.7846805295880324,0.0,-0.0
56,0.56,20.10511871148268,20.0,5.0,0.01856911698100127,0.01856911698100127,0.0,2.7853675471501904,0.0,-0.0
57,0.5700000000000001,20.106976081390066,20.0,5.0,0.018573699073845103,0.018573699073845103,0.0,2.7860548610767655,0.0,-0.0
58,0.58,20.10883390970443,20.0,5.0,0.018578283143633634,0.018578283143633634,0.0,2.786742471545045,0.0,-0.0
59,0.59,20.110692196623585,20.0,5.0,0.01858286919154962,0.01858286919154962,0.0,2.787430378732443,0.0,-0.0
60,0.6,20.112550942345464,20.0,5.0,0.018587457218776717,0.018587457218776717,0.0,2.7881185828165074,0.0,-0.0
61,0.61,20.114410147068114,20.0,5.0,0.018592047226499507,0.018592047226499507,0.0,2.788807083974926,0.0,-0.0
62,0.62,20.116269810989703,20.0,5.0,0.018596639215903404,0.018596639215903404,0.0,2.7894958823855105,0.0,-0.0
63,0.63,20.11812993430852,20.0,5.0,0.018601233188174745,0.018601233188174745,0.0,2.7901849782262116,0.0,-0.0
64,0.64,20.11999051722297,20.0,5.0,0.018605829144500735,0.018605829144500735,0.0,2.7908743716751103,0.0,-0.0
65,0.65,20.121851559931578,20.0,5.0,0.018610427086069515,0.018610427086069515,0.0,2.7915640629104272,0.0,-0.0
66,0.66,20.123713062632984,20.0,5.0,0.018615027014070064,0.018615027014070064,0.0,2.7922540521105095,0.0,-0.0
67,0.67,20.125575025525954,20.0,5.0,0.018619628929692267,0.018619628929692267,0.0,2.79294433945384,0.0,-0.0
68,0.68,20.127437448809367,20.0,5.0,0.018624232834126914,0.018624232834126914,0.0,2.7936349251190373,0.0,-0.0
69,0.6900000000000001,20.129300332682224,20.0,5.0,0.018628838728565668,0.018628838728565668,0.0,2.79432580928485,0.0,-0.0
70,0.7000000000000001,20.131163677343643,20.0,5.0,0.018633446614201132,0.018633446614201132,0.0,2.79501699213017,0.0,-0.0
71,0.71,20.133027482992865,20.0,5.0,0.018638056492226742,0.018638056492226742,0.0,2.7957084738340114,0.0,-0.0
72,0.72,20.13489174982925,20.0,5.0,0.018642668363836854,0.018642668363836854,0.0,2.796400254575528,0.0,-0.0
73,0.73,20.136756478052273,20.0,5.0,0.018647282230226752,0.018647282230226752,0.0,2.7970923345340126,0.0,-0.0
74,0.74,20.138621667861532,20.0,5.0,0.018651898092592586,0.018651898092592586,0.0,2.797784713888888,0.0,-0.0
75,0.75,20.140487319456746,20.0,5.0,0.018656515952131376,0.018656515952131376,0.0,2.798477392819706,0.0,-0.0
76,0.76,20.14235343303775,20.0,5.0,0.018661135810041116,0.018661135810041116,0.0,2.7991703715061673,0.0,-0.0
77,0.77,20.144220008804503,20.0,5.0,0.01866575766752064,0.01866575766752064,0.0,2.799863650128096,0.0,-0.0
78,0.78,20.14608704695708,20.0,5.0,0.01867038152576968,0.01867038152576968,0.0,2.8005572288654523,0.0,-0.0
79,0.79,20.14795454769568,20.0,5.0,0.01867500738598892,0.01867500738598892,0.0,2.8012511078983375,0.0,-0.0
80,0.8,20.149822511220616,20.0,5.0,0.01867963524937989,0.01867963524937989,0.0,2.801945287406984,0.0,-0.0
81,0.81,20.15169093773233,20.0,5.0,0.018684265117145063,0.018684265117145063,0.0,2.8026397675717596,0.0,-0.0
82,0.8200000000000001,20.15355982743138,20.0,5.0,0.018688896990487792,0.018688896990487792,0.0,2.8033345485731687,0.0,-0.0
83,0.8300000000000001,20.155429180518443,20.0,5.0,0.018693530870612343,0.018693530870612343,0.0,2.8040296305918515,0.0,-0.0
84,0.84,20.157298997194314,20.0,5.0,0.018698166758723885,0.018698166758723885,0.0,2.8047250138085826,0.0,-0.0
85,0.85,20.159169277659917,20.0,5.0,0.01870280465602851,0.01870280465602851,0.0,2.8054206984042764,0.0,-0.0
86,0.86,20.16104002211629,20.0,5.0,0.01870744456373317,0.01870744456373317,0.0,2.8061166845599756,0.0,-0.0
87,0.87,20.162911230764593,20.0,5.0,0.01871208648304579,0.01871208648304579,0.0,2.8068129724568687,0.0,-0.0
88,0.88,20.16478290380611,20.0,5.0,0.018716730415175152,0.018716730415175152,0.0,2.8075095622762727,0.0,-0.0
89,0.89,20.166655041442244,20.0,5.0,0.01872137636133096,0.01872137636133096,0.0,2.808206454199644,0.0,-0.0
90,0.9,20.168527643874516,20.0,5.0,0.018726024322723838,0.018726024322723838,0.0,2.8089036484085756,0.0,-0.0
91,0.91,20.170400711304573,20.0,5.0,0.018730674300565322,0.018730674300565322,0.0,2.809601145084798,0.0,-0.0
92,0.92,20.17227424393418,20.0,5.0,0.018735326296067847,0.018735326296067847,0.0,2.810298944410177,0.0,-0.0
93,0.93,20.174148241965224,20.0,5.0,0.018739980310444753,0.018739980310444753,0.0,2.810997046566713,0.0,-0.0
94,0.9400000000000001,20.176022705599713,20.0,5.0,0.018744636344910328,0.018744636344910328,0.0,2.8116954517365493,0.0,-0.0
95,0.9500000000000001,20.17789763503978,20.0,5.0,0.018749294400679746,0.018749294400679746,0.0,2.8123941601019617,0.0,-0.0
96,0.96,20.179773030487677,20.0,5.0,0.018753954478969093,0.018753954478969093,0.0,2.813093171845364,0.0,-0.0
